Sample_ID,lat,lon,ele,Site,State,Region,Fine_region,Phylogroups
100-Tetas-01,27.94120599,-111.084627,33.28154,100-Tetas,SON,NORTH,SON_COS,SON_COS
100-Tetas-03,27.94456696,-111.08256,139.858261,100-Tetas,SON,NORTH,SON_COS,SON_COS
100-Tetas-05,27.94374604,-111.084194,77.69149,100-Tetas,SON,NORTH,SON_COS,SON_COS
100-Tetas-11,27.94421199,-111.084965,50.213387,100-Tetas,SON,NORTH,SON_COS,SON_COS
100-Tetas-13,27.94585099,-111.085418,30.877377,100-Tetas,SON,NORTH,SON_COS,SON_COS
100-Tetas-14,27.94587596,-111.084662,46.832378,100-Tetas,SON,NORTH,SON_COS,SON_COS
103-05,26.94191499,-108.882036,259.627411,103,SON,NORTH,SON_LAND,SON_LAND
103-06,26.94233199,-108.880289,258.749725,103,SON,NORTH,SON_LAND,SON_LAND
103-13,26.94366102,-108.879097,257.0112,103,SON,NORTH,SON_LAND,SON_LAND
103-14,26.94160502,-108.882173,258.603821,103,SON,NORTH,SON_LAND,SON_LAND
104-01,27.0835,-109.682281,50.071033,104,SON,NORTH,SON_COS,SON_COS
104-06,27.08267497,-109.682201,90.558495,104,SON,NORTH,SON_COS,SON_COS
104-10,27.081961,-109.68333,36.949371,104,SON,NORTH,SON_COS,SON_COS
104-20,27.08403803,-109.681067,57.854214,104,SON,NORTH,SON_COS,SON_COS
104-25,27.08406301,-109.679881,89.471581,104,SON,NORTH,SON_COS,SON_COS
104-28,27.08326799,-109.680973,110.044487,104,SON,NORTH,SON_COS,SON_COS
112-01,27.56674999,-113.07373,1024.643066,112,BAJA,NORTH,BAJA,BAJA
112-02S,27.58007001,-113.07212,NA,112,BAJA,NORTH,BAJA,BAJA
112-04,27.55686999,-113.07883,NA,112,BAJA,NORTH,BAJA,BAJA
112-05,27.56044001,-113.07883,NA,112,BAJA,NORTH,BAJA,BAJA
112-08,27.56533002,-113.07446,NA,112,BAJA,NORTH,BAJA,BAJA
112-09S,27.56448001,-113.07322,NA,112,BAJA,NORTH,BAJA,BAJA
112-103W,27.58079999,-113.08148,1072.59082,112,BAJA,NORTH,BAJA,BAJA
112-11,27.56589001,-113.07303,NA,112,BAJA,NORTH,BAJA,BAJA
112-111,27.577896,-113.087833,1032.350342,112,BAJA,NORTH,BAJA,BAJA
112-113,27.57867702,-113.087641,1045.178833,112,BAJA,NORTH,BAJA,BAJA
112-12,27.56691998,-113.07573,NA,112,BAJA,NORTH,BAJA,BAJA
112-15,27.56593997,-113.07772,NA,112,BAJA,NORTH,BAJA,BAJA
112-16,27.56579999,-113.07707,NA,112,BAJA,NORTH,BAJA,BAJA
112-16W,27.56579001,-113.07709,NA,112,BAJA,NORTH,BAJA,BAJA
112-18,27.57124999,-113.07603,NA,112,BAJA,NORTH,BAJA,BAJA
112-19,27.57376003,-113.07608,NA,112,BAJA,NORTH,BAJA,BAJA
112-20N,27.57357001,-113.07639,NA,112,BAJA,NORTH,BAJA,BAJA
112-26,27.54886502,-113.086702,866.977905,112,BAJA,NORTH,BAJA,BAJA
112-27,27.54835197,-113.088348,864.450745,112,BAJA,NORTH,BAJA,BAJA
112-28,27.54646897,-113.09607,817.440308,112,BAJA,NORTH,BAJA,BAJA
112-29,27.57587302,-113.078044,1149.674927,112,BAJA,NORTH,BAJA,BAJA
112-32,27.57694398,-113.0781,1147.631348,112,BAJA,NORTH,BAJA,BAJA
112-321,27.58234503,-113.079899,1086.664795,112,BAJA,NORTH,BAJA,BAJA
112-37,27.58102798,-113.074265,1128.618286,112,BAJA,NORTH,BAJA,BAJA
112-38,27.58100602,-113.074156,1122.637817,112,BAJA,NORTH,BAJA,BAJA
112-40,27.58025902,-113.073475,1124.783081,112,BAJA,NORTH,BAJA,BAJA
112-70,27.57081899,-113.073717,1131.015625,112,BAJA,NORTH,BAJA,BAJA
113-20,27.08695502,-112.516378,644.976624,113,BAJA,NORTH,BAJA,BAJA
113-21,27.08292601,-112.519367,734.069519,113,BAJA,NORTH,BAJA,BAJA
113-24,27.08346597,-112.518659,716.342468,113,BAJA,NORTH,BAJA,BAJA
113-26,27.083802,-112.518271,727.339233,113,BAJA,NORTH,BAJA,BAJA
113-28,27.083931,-112.517268,693.287231,113,BAJA,NORTH,BAJA,BAJA
113-30,27.08561199,-112.51703,659.383728,113,BAJA,NORTH,BAJA,BAJA
113-32,27.08270104,-112.519514,721.534729,113,BAJA,NORTH,BAJA,BAJA
113-33,27.08185304,-112.519629,731.531067,113,BAJA,NORTH,BAJA,BAJA
113-42,27.08022703,-112.519102,806.347534,113,BAJA,NORTH,BAJA,BAJA
113-50,27.083054,-112.518948,728.394409,113,BAJA,NORTH,BAJA,BAJA
113-53,27.08323002,-112.517731,706.672363,113,BAJA,NORTH,BAJA,BAJA
113-55,27.08383997,-112.516843,693.050293,113,BAJA,NORTH,BAJA,BAJA
113-56,27.08452201,-112.516198,689.649536,113,BAJA,NORTH,BAJA,BAJA
113-69,27.08358499,-112.514798,750.814087,113,BAJA,NORTH,BAJA,BAJA
113-73,27.08320102,-112.514079,798.953125,113,BAJA,NORTH,BAJA,BAJA
113-74,27.08304704,-112.514273,802.673035,113,BAJA,NORTH,BAJA,BAJA
113-75,27.08316799,-112.514382,805.72998,113,BAJA,NORTH,BAJA,BAJA
113-90,27.08648404,-112.516929,644.289856,113,BAJA,NORTH,BAJA,BAJA
113-91,27.08378398,-112.517221,686.822998,113,BAJA,NORTH,BAJA,BAJA
158-06A,29.26117997,-114.02113,NA,158,BAJA,NORTH,BAJA,BAJA
158-08,29.26207004,-114.02159,NA,158,BAJA,NORTH,BAJA,BAJA
158-19,29.26133998,-114.02155,NA,158,BAJA,NORTH,BAJA,BAJA
158-21,29.26235997,-114.02149,NA,158,BAJA,NORTH,BAJA,BAJA
158-22A,29.26242996,-114.0217,NA,158,BAJA,NORTH,BAJA,BAJA
158-26,29.26376,-114.0223,NA,158,BAJA,NORTH,BAJA,BAJA
158-28,29.26448998,-114.02298,NA,158,BAJA,NORTH,BAJA,BAJA
158-29,29.26468,-114.02277,NA,158,BAJA,NORTH,BAJA,BAJA
158-30,29.26487999,-114.02213,NA,158,BAJA,NORTH,BAJA,BAJA
158-34,29.26452996,-114.02194,NA,158,BAJA,NORTH,BAJA,BAJA
158-36,29.26428999,-114.02186,NA,158,BAJA,NORTH,BAJA,BAJA
158-39,29.26330998,-114.02132,NA,158,BAJA,NORTH,BAJA,BAJA
158-40,29.26389998,-114.02097,NA,158,BAJA,NORTH,BAJA,BAJA
158-41N,29.26395723,-114.0210456,895.5871582,158,BAJA,NORTH,BAJA,BAJA
158-53,29.26248997,-114.02028,NA,158,BAJA,NORTH,BAJA,BAJA
158-54,29.26221748,-114.0212387,883.5705566,158,BAJA,NORTH,BAJA,BAJA
158-56,29.26224816,-114.0211494,868.9106445,158,BAJA,NORTH,BAJA,BAJA
158-67,29.26327385,-114.0224962,912.1696777,158,BAJA,NORTH,BAJA,BAJA
158-71,29.26385958,-114.0215988,905.2001953,158,BAJA,NORTH,BAJA,BAJA
158-72B,29.26416619,-114.0209989,896.3081055,158,BAJA,NORTH,BAJA,BAJA
172-01,28.29141,-113.11168,NA,172,BAJA,NORTH,BAJA,BAJA
172-02,28.2913,-113.11175,NA,172,BAJA,NORTH,BAJA,BAJA
172-04,28.29126997,-113.11265,NA,172,BAJA,NORTH,BAJA,BAJA
172-05A,28.29109998,-113.11246,NA,172,BAJA,NORTH,BAJA,BAJA
172-07,28.29089999,-113.11289,NA,172,BAJA,NORTH,BAJA,BAJA
172-12,28.29040001,-113.11188,NA,172,BAJA,NORTH,BAJA,BAJA
172-14,28.29092002,-113.11136,NA,172,BAJA,NORTH,BAJA,BAJA
172-15B,28.29069003,-113.11096,NA,172,BAJA,NORTH,BAJA,BAJA
172-17,28.29062004,-113.11144,NA,172,BAJA,NORTH,BAJA,BAJA
172-18,28.29093997,-113.11169,NA,172,BAJA,NORTH,BAJA,BAJA
172-19,28.29049003,-113.11121,NA,172,BAJA,NORTH,BAJA,BAJA
172-20,28.29020002,-113.1109,NA,172,BAJA,NORTH,BAJA,BAJA
172-21,28.29000003,-113.11047,NA,172,BAJA,NORTH,BAJA,BAJA
172-25,28.29168001,-113.11343,NA,172,BAJA,NORTH,BAJA,BAJA
172-47,28.29041602,-113.111066,681.241394,172,BAJA,NORTH,BAJA,BAJA
172-53,28.28925999,-113.111427,680.647522,172,BAJA,NORTH,BAJA,BAJA
172-54,28.289391,-113.112732,686.137207,172,BAJA,NORTH,BAJA,BAJA
172-84,28.29030798,-113.112894,707.226868,172,BAJA,NORTH,BAJA,BAJA
172-90,28.29039599,-113.113319,697.726379,172,BAJA,NORTH,BAJA,BAJA
179-01,25.91582,-111.34837,182.7750244,179,BAJA,NORTH,BAJA,BAJA
179-02,25.91431,-111.34993,NA,179,BAJA,NORTH,BAJA,BAJA
179-03,25.91437999,-111.35011,NA,179,BAJA,NORTH,BAJA,BAJA
179-04,25.91424001,-111.3517,NA,179,BAJA,NORTH,BAJA,BAJA
179-07,25.91423004,-111.35189,NA,179,BAJA,NORTH,BAJA,BAJA
179-08,25.91414999,-111.35221,NA,179,BAJA,NORTH,BAJA,BAJA
179-09,25.91405,-111.35213,NA,179,BAJA,NORTH,BAJA,BAJA
179-10,25.91402996,-111.35143,NA,179,BAJA,NORTH,BAJA,BAJA
179-11,25.91385,-111.35155,NA,179,BAJA,NORTH,BAJA,BAJA
179-13,25.91467001,-111.34718,NA,179,BAJA,NORTH,BAJA,BAJA
179-15,25.91450002,-111.34703,NA,179,BAJA,NORTH,BAJA,BAJA
179-16,25.91528599,-111.349456,19.503433,179,BAJA,NORTH,BAJA,BAJA
179-17,25.91305397,-111.35022,111.862167,179,BAJA,NORTH,BAJA,BAJA
179-19,25.91130299,-111.349592,176.409439,179,BAJA,NORTH,BAJA,BAJA
179-22,25.911649,-111.346759,90.487839,179,BAJA,NORTH,BAJA,BAJA
179-25,25.90866202,-111.355322,192.153625,179,BAJA,NORTH,BAJA,BAJA
179-40,25.911375,-111.349551,173.486664,179,BAJA,NORTH,BAJA,BAJA
179-43,25.91155303,-111.354775,95.813988,179,BAJA,NORTH,BAJA,BAJA
179-44,25.91007496,-111.353106,145.35611,179,BAJA,NORTH,BAJA,BAJA
179-45,25.90934196,-111.352763,141.392105,179,BAJA,NORTH,BAJA,BAJA
179-46,25.910571,-111.355005,181.020752,179,BAJA,NORTH,BAJA,BAJA
