Sample ,Site,Lat,Lon,Elevation,State,Label,In_phased_data,Region,Phrapl_region,In_unphased_data,fine_region
FW261_petiolaris,103,26.94180803,-108.88808,253.522873,SON,FW261_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
FW267_petiolaris,96,24.02942517,-110.1300945,749.9484863,BAJA,FW267_BAJA,1,North,NORTH,1,BAJA
FW268_petiolaris,96,24.02942517,-110.1300945,749.9484863,BAJA,FW268_BAJA,0,North,NORTH,1,BAJA
FW269_petiolaris,103,26.94180803,-108.88808,253.522873,SON,FW269_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
FW270_petiolaris,103,26.94180803,-108.88808,253.522873,SON,FW270_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
FW271_petiolaris,209,16.64853397,-96.07933,783.622925,OAX,FW271_OAX,1,South,SOUTH,1,OAX
FW272_petiolaris,209,16.64853397,-96.07933,783.622925,OAX,FW272_OAX,1,South,SOUTH,1,OAX
FW273_petiolaris,217,21.31892798,-103.148422,1271.275391,ZAC,FW273_ZAC,1,Occidental,OCCIDENTAL,1,ZAC
FW274_petiolaris,217,21.31892798,-103.148422,1271.275391,ZAC,FW274_ZAC,1,Occidental,OCCIDENTAL,1,ZAC
FW525_petiolaris,39,23.13187396,-109.754058,187.799393,BAJA,FW525_BAJA,1,North,NORTH,1,BAJA
FW526_petiolaris,39,23.13187396,-109.754058,187.799393,BAJA,FW526_BAJA,1,North,NORTH,1,BAJA
FW527_petiolaris,70,23.73801003,-109.81612,308.9470215,BAJA,FW527_BAJA,1,North,NORTH,1,BAJA
FW528_petiolaris,70,23.73801003,-109.81612,308.9470215,BAJA,FW528_BAJA,1,North,NORTH,1,BAJA
FW529_petiolaris,95,26.36298004,-111.803874,262.556732,BAJA,FW529_BAJA,1,North,NORTH,1,BAJA
FW530_petiolaris,95,26.36298004,-111.803874,262.556732,BAJA,FW530_BAJA,1,North,NORTH,1,BAJA
FW532_petiolaris,100T,27.94120599,-111.084627,33.28154,SON,FW532_SON,1,North,NORTH,1,SON_COS
FW533_petiolaris,104,27.08340604,-109.682252,52.441616,SON,FW533_SON,1,North,NORTH,1,SON_COS
FW534_petiolaris,104,27.08340604,-109.682252,52.441616,SON,FW534_SON,1,North,NORTH,1,SON_COS
