"pop","n","Fis","n_ests","ll","hl"
"36",5,0.495,77,0.5368,0.7457
"39",2,0.5185,27,0.3111,0.8039
"70",2,0.2069,29,0,0.5476
"95",2,0.2609,23,-0.1155,0.5791
"100",4,0.5244,62,0.5667,0.7755
"101",2,0.4762,21,0.4242,0.8276
"103",6,0.553,51,0.4687,0.7753
"104",9,0.3773,104,0.4084,0.6067
"106",5,0.7505,62,0.7023,0.9013
"107",4,0.5002,57,0.5229,0.7624
"108",6,0.4051,76,0.432,0.6675
"158",2,0.0952,21,-0.0801,0.5
"172",2,0.1935,31,-0.1668,0.4002
"201",2,0.4412,34,0.1702,0.6668
"209",2,0.5,8,-0.2512,0.9476
"215",2,0.3571,28,0.1111,0.6452
"217",3,0.2931,29,0.2222,0.6192
"218",4,0.3618,68,0.3401,0.6481
"221",3,0.5263,38,0.4527,0.7934
"222",6,0.4148,77,0.4352,0.6813
"226",5,0.4082,55,0.4336,0.6767
"229",2,0.2692,26,-0.0345,0.5882
"230",5,0.4793,51,0.4487,0.7584
"231",3,0.2826,23,0.1723,0.613
